GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parkingsystem,com.parkit.parkingsystem.service,FareCalculatorService,5,77,2,9,1,15,2,6,0,2
parkingsystem,com.parkit.parkingsystem.service,ParkingService,32,214,4,7,10,57,4,9,0,7
parkingsystem,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parkingsystem,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parkingsystem,com.parkit.parkingsystem.model,ParkingSpot,16,46,4,4,5,14,7,6,3,6
parkingsystem,com.parkit.parkingsystem.model,Ticket,0,52,0,0,0,22,0,15,0,15
parkingsystem,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parkingsystem,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parkingsystem,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parkingsystem,com.parkit.parkingsystem.util,InputReaderUtil,45,10,4,0,15,2,5,1,3,1
parkingsystem,com.parkit.parkingsystem.dao,TicketDAO,42,214,4,4,8,56,3,7,0,6
parkingsystem,com.parkit.parkingsystem.dao,ParkingSpotDAO,11,92,2,2,4,25,2,4,0,4
parkingsystem,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
